Tadross_cluster	Herb_cluster	ncells_C_total	ncells_C_siletti	Percentage_H_Cluster
C4-25	19	147	48	66.67
C4-250	488	229	169	42.6
C4-250	287	229	169	32.54
C4-251	419	125	95	67.37
C4-252	257	290	206	35.92
C4-252	166	290	206	30.58
C4-253	89	330	240	50.83
C4-254	455	163	114	52.63
C4-254	89	163	114	28.07
C4-255	154	344	225	25.33
C4-255	429	344	225	22.67
C4-255	98	344	225	10.22
C4-256	65	269	217	45.62
C4-256	166	269	217	29.49
C4-257	358	159	137	56.2
C4-258	24	217	126	61.9
C4-259	24	547	31	87.1
C4-259	28	547	31	9.68
C4-26	19	3003	194	98.97
C4-260	310	430	143	62.24
C4-261	537	323	96	43.75
C4-261	404	323	96	7.29
C4-262	130	266	87	54.02
C4-263	310	90	28	96.43
C4-264	386	233	47	57.45
C4-265	527	124	56	94.64
C4-266	130	215	93	58.06
C4-267	449	101	64	32.81
C4-268	130	82	47	97.87
C4-269	130	167	55	30.91
C4-27	19	120	7	100
C4-270	130	114	47	51.06
C4-271	200	98	54	31.48
C4-271	74	98	54	29.63
C4-271	130	98	54	27.78
C4-272	449	78	41	70.73
C4-273	74	86	39	35.9
C4-274	74	71	24	58.33
C4-275	243	358	100	36
C4-276	74	83	25	44
C4-277	386	221	80	91.25
C4-278	312	162	62	69.35
C4-279	386	87	28	35.71
C4-279	492	87	28	32.14
C4-279	119	87	28	25
C4-28	19	469	136	99.26
C4-280	312	219	90	47.78
C4-280	119	219	90	33.33
C4-281	74	100	34	29.41
C4-282	92	251	165	50.3
C4-283	199	206	139	94.96
C4-284	243	300	238	69.75
C4-285	410	75	55	80
C4-286	468	320	111	39.64
C4-286	381	320	111	27.93
C4-287	92	155	115	47.83
C4-287	74	155	115	26.96
C4-288	200	514	251	46.22
C4-288	460	514	251	27.09
C4-289	200	135	52	57.69
C4-29	19	175	68	92.65
C4-290	119	347	130	76.15
C4-291	492	135	69	81.16
C4-292	119	239	77	68.83
C4-293	217	209	85	61.18
C4-294	481	91	54	70.37
C4-295	518	184	104	51.92
C4-296	255	200	128	81.25
C4-297	311	168	123	88.62
C4-298	131	77	66	96.97
C4-299	232	528	457	69.58
C4-30	19	397	151	80.13
C4-300	273	282	146	65.75
C4-301	43	221	171	73.1
C4-302	232	181	126	36.51
C4-302	273	181	126	26.98
C4-303	273	112	99	67.68
C4-304	151	270	224	65.18
C4-305	151	79	58	31.03
C4-305	74	79	58	27.59
C4-306	353	276	212	43.87
C4-307	244	522	398	36.18
C4-307	443	522	398	19.35
C4-307	472	522	398	13.57
C4-308	84	348	267	70.79
C4-308	521	348	267	11.61
C4-309	361	332	250	46.8
C4-309	131	332	250	41.6
C4-31	19	320	71	54.93
C4-310	520	121	67	65.67
C4-311	273	64	13	61.54
C4-312	160	687	310	99.35
C4-313	160	309	155	98.06
C4-314	6	613	486	75.72
C4-314	509	613	486	11.93
C4-315	63	280	228	93.86
C4-316	74	263	96	30.21
C4-316	303	263	96	18.75
C4-317	298	503	169	39.05
C4-317	175	503	169	33.14
C4-318	126	328	76	56.58
C4-319	316	60	28	42.86
C4-32	19	139	35	100
C4-320	58	509	394	32.23
C4-321	29	492	360	63.89
C4-321	480	492	360	15.56
C4-322	16	85	58	20.69
C4-323	316	299	172	23.84
C4-324	368	392	315	31.43
C4-324	313	392	315	29.84
C4-325	304	248	230	27.83
C4-326	58	390	128	28.91
C4-326	129	390	128	20.31
C4-327	123	97	34	20.59
C4-328	126	186	34	35.29
C4-328	74	186	34	26.47
C4-329	5	218	128	86.72
C4-33	19	3850	383	99.74
C4-330	5	665	372	96.24
C4-331	5	425	212	99.53
C4-332	20	300	218	62.84
C4-333	534	333	152	23.03
C4-334	55	611	348	44.54
C4-334	218	611	348	37.64
C4-335	23	463	328	64.02
C4-336	20	262	190	48.42
C4-337	412	214	129	34.88
C4-337	219	214	129	26.36
C4-338	161	374	242	57.44
C4-338	219	374	242	28.1
C4-339	76	529	348	49.43
C4-339	428	529	348	22.99
C4-34	19	295	61	98.36
C4-340	36	357	265	48.3
C4-341	100	413	243	81.89
C4-342	100	95	46	67.39
C4-343	94	816	561	31.55
C4-343	54	816	561	30.84
C4-344	193	275	209	41.63
C4-345	4	939	675	40.15
C4-345	169	939	675	27.41
C4-345	301	939	675	8.44
C4-346	164	111	77	42.86
C4-346	100	111	77	40.26
C4-347	186	1145	756	22.49
C4-347	357	1145	756	15.08
C4-347	438	1145	756	10.45
C4-347	382	1145	756	7.14
C4-348	70	256	149	98.66
C4-349	308	206	125	56.8
C4-349	424	206	125	10.4
C4-35	19	355	57	96.49
C4-350	267	261	205	58.05
C4-350	326	261	205	15.12
C4-351	227	237	214	20.56
C4-351	373	237	214	15.42
C4-352	64	498	396	49.49
C4-352	295	498	396	27.78
C4-353	297	149	133	69.92
C4-354	227	165	151	48.34
C4-354	539	165	151	7.28
C4-355	12	373	333	69.37
C4-356	235	217	179	54.19
C4-357	258	198	138	70.29
C4-358	146	227	150	72.67
C4-359	191	333	309	44.01
C4-359	233	333	309	31.72
C4-36	19	191	39	69.23
C4-360	19	883	664	100
C4-361	19	285	263	92.78
C4-362	36	470	253	72.33
C4-363	80	300	215	31.63
C4-364	80	429	328	72.56
C4-365	447	270	168	40.48
C4-365	60	270	168	37.5
C4-366	31	526	450	50.22
C4-366	60	526	450	31.78
C4-367	153	584	494	63.16
C4-367	437	584	494	12.75
C4-367	548	584	494	5.06
C4-368	80	80	58	75.86
C4-369	318	255	139	66.19
C4-37	19	272	103	97.09
C4-370	87	353	176	55.68
C4-370	477	353	176	33.52
C4-371	87	368	299	38.46
C4-371	337	368	299	27.09
C4-373	35	417	356	58.15
C4-373	44	417	356	32.87
C4-374	77	371	344	50.87
C4-375	128	357	322	52.48
C4-376	179	334	302	56.95
C4-376	12	334	302	29.8
C4-377	36	419	385	49.61
C4-377	12	419	385	41.3
C4-378	36	134	130	93.08
C4-379	36	192	188	57.45
C4-379	22	192	188	29.26
C4-38	19	284	78	89.74
C4-380	36	442	424	91.98
C4-381	221	359	276	42.75
C4-381	124	359	276	26.81
C4-382	124	218	186	59.14
C4-382	223	218	186	26.34
C4-383	62	317	303	57.43
C4-383	223	317	303	27.06
C4-384	544	119	104	18.27
C4-385	238	212	206	41.26
C4-385	40	212	206	29.61
C4-386	40	226	220	39.55
C4-387	108	443	430	43.72
C4-388	71	143	130	56.15
C4-389	215	302	265	64.91
C4-389	300	302	265	26.79
C4-39	19	230	31	100
C4-390	291	245	239	41.42
C4-390	262	245	239	25.52
C4-390	40	245	239	25.1
C4-391	213	358	356	48.6
C4-391	384	358	356	17.42
C4-392	105	297	260	59.62
C4-393	53	383	328	58.23
C4-394	346	185	153	67.32
C4-395	230	389	362	39.5
C4-395	286	389	362	29.01
C4-395	309	389	362	11.88
C4-396	21	111	104	48.08
C4-397	339	179	166	22.89
C4-397	454	179	166	8.43
C4-398	314	222	211	51.66
C4-398	339	222	211	29.38
C4-399	15	341	329	73.86
C4-4	19	213	77	100
C4-40	19	818	43	100
C4-400	498	136	127	38.58
C4-401	36	125	125	26.4
C4-402	240	1789	1034	36.85
C4-402	177	1789	1034	29.69
C4-402	101	1789	1034	28.43
C4-403	398	338	237	54.85
C4-404	101	200	149	32.21
C4-404	525	200	149	19.46
C4-405	387	291	258	30.62
C4-405	259	291	258	25.97
C4-405	420	291	258	18.6
C4-406	120	259	244	49.18
C4-407	158	3646	2773	24.74
C4-407	159	3646	2773	22.79
C4-407	271	3646	2773	19.33
C4-407	279	3646	2773	3.43
C4-407	127	3646	2773	2.96
C4-408	156	420	393	57.51
C4-408	377	420	393	11.2
C4-408	176	420	393	7.12
C4-408	441	420	393	3.31
C4-409	194	990	905	22.32
C4-409	214	990	905	18.34
C4-409	380	990	905	10.61
C4-409	334	990	905	9.17
C4-409	379	990	905	7.73
C4-409	395	990	905	0.88
C4-410	207	332	328	43.29
C4-410	144	332	328	40.55
C4-411	27	12736	10219	21.48
C4-411	25	12736	10219	18.82
C4-411	30	12736	10219	7.22
C4-411	26	12736	10219	5.66
C4-411	167	12736	10219	5.2
C4-411	137	12736	10219	3.78
C4-411	185	12736	10219	3.73
C4-411	2	12736	10219	3.38
C4-411	208	12736	10219	2.91
C4-411	99	12736	10219	2.06
C4-411	163	12736	10219	1.46
C4-412	293	193	184	48.91
C4-412	464	193	184	17.39
C4-412	187	193	184	11.41
C4-412	142	193	184	8.7
C4-412	517	193	184	3.26
C4-412	385	193	184	2.72
C4-412	413	193	184	1.63
C4-413	59	64	57	26.32
C4-413	401	64	57	22.81
C4-414	281	473	413	36.8
C4-414	388	473	413	25.91
C4-415	130	92	79	89.87
C4-42	19	3407	186	97.85
C4-43	19	308	65	100
C4-44	400	1913	196	35.71
C4-45	133	173	68	36.76
C4-47	260	349	26	38.46
C4-49	138	122	32	28.12
C4-49	96	122	32	28.12
C4-49	133	122	32	25
C4-5	19	895	305	99.67
C4-50	19	121	36	55.56
C4-51	138	200	21	28.57
C4-52	260	189	88	78.41
C4-53	260	230	90	80
C4-54	19	559	36	86.11
C4-56	51	527	119	83.19
C4-57	51	239	33	78.79
C4-57	109	239	33	6.06
C4-58	51	280	59	77.97
C4-59	19	390	95	100
C4-6	19	234	95	95.79
C4-60	19	387	99	92.93
C4-61	19	150	58	98.28
C4-62	332	506	369	34.15
C4-62	333	506	369	34.15
C4-63	211	378	161	86.34
C4-64	524	104	63	69.84
C4-65	436	234	146	62.33
C4-66	473	195	140	44.29
C4-66	515	195	140	37.86
C4-67	462	206	148	52.03
C4-67	502	206	148	37.16
C4-68	478	252	151	43.05
C4-68	317	252	151	31.13
C4-69	296	454	258	47.67
C4-69	461	454	258	30.23
C4-70	284	438	211	69.67
C4-71	523	222	90	50
C4-71	268	222	90	28.89
C4-72	123	326	133	74.44
C4-73	123	268	111	41.44
C4-73	516	268	111	32.43
C4-74	138	236	91	74.73
C4-75	469	151	56	73.21
C4-75	88	151	56	7.14
C4-76	138	144	51	35.29
C4-76	547	144	51	27.45
C4-77	13	452	264	69.7
C4-78	13	116	64	85.94
C4-79	538	65	34	29.41
C4-80	364	140	94	74.47
C4-81	350	458	151	68.87
C4-82	138	164	83	38.55
C4-83	47	289	131	59.54
C4-83	499	289	131	8.4
C4-84	47	248	96	77.08
C4-85	188	324	165	49.09
C4-85	47	324	165	25.45
C4-86	47	86	39	84.62
C4-87	241	360	198	62.12
C4-87	317	360	198	25.76
C4-88	72	467	104	20.19
C4-89	138	296	58	22.41
C4-90	96	196	70	24.29
C4-91	138	78	66	46.97
C4-92	138	160	104	38.46
C4-93	254	407	218	48.17
C4-94	81	328	242	47.93
C4-94	442	328	242	16.12
C4-95	138	63	44	75
C4-96	138	261	174	31.61
C4-96	81	261	174	30.46
C4-97	138	158	126	49.21
C4-98	138	127	111	72.07
C4-99	96	148	102	41.18
C4-99	24	148	102	30.39
